0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:32 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 16082
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:33 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 35074
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:35 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 21330
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:36 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 36232
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:37 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:38 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 16083
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:41 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goBack.dwr HTTP/1.1" 200 5641
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/m/StatoTicket HTTP/1.1" 200 13657
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:53 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:54 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:54 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "GET /ProgrammaBiennale2020/m/StatoTicket HTTP/1.1" 200 14289
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:14:55 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:00 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:07 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:11 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:13 +0200] "GET /ProgrammaBiennale2020/m/TicketHelpDesk?init=true HTTP/1.1" 500 8956
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/m/StatoTicket?init=true HTTP/1.1" 200 14299
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:32 +0200] "GET /ProgrammaBiennale2020/m/TicketHelpDesk?init=true HTTP/1.1" 500 8956
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:39 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:39 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:43 +0200] "GET /ProgrammaBiennale2020/m/StatoTicket?init=true HTTP/1.1" 200 14299
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:15:43 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
