0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:30:44 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:30:44 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 35629
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:30:46 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 410445
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/m/Gdl113?detail=8ae4a8be778caec201778cb167c40002 HTTP/1.1" 200 15462
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:05 +0100] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:06 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:06 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 410461
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:32:38 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 114276
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:35:07 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:35:08 +0100] "GET /ProgrammaBiennale2020/m/Gdl113 HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:35:08 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
